Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Kai Havertz, GER,FW,25-100,4,4,360.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.6,1.6,0.7,2.4,9.0,11.0,20.0,0.5,0.25,0.75,0.5,0.75,0.41,0.18,0.59,0.41,0.59,Matches,Arsenal
Gabriel Magalhães, BRA,DF,26-275,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.3,0.7,0.0,10.0,0.0,0.25,0.0,0.25,0.25,0.25,0.12,0.07,0.18,0.12,0.18,Matches,Arsenal
Thomas Partey, GHA,MF,31-098,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,1.0,15.0,1.0,0.25,0.0,0.25,0.25,0.25,0.04,0.04,0.08,0.04,0.08,Matches,Arsenal
David Raya, ESP,GK,29-004,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
William Saliba, FRA,DF,23-179,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Ben White, ENG,DF,26-347,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Arsenal
Bukayo Saka, ENG,"FW,MF",23-014,4,4,341.0,3.8,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,1.4,2.8,11.0,10.0,38.0,0.26,1.06,1.32,0.26,1.32,0.38,0.36,0.74,0.38,0.74,Matches,Arsenal
Jurriën Timber, NED,DF,23-094,4,3,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,Arsenal
Martin Ødegaard, NOR,MF,25-277,3,3,253.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.7,8.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.26,0.16,0.26,Matches,Arsenal
Gabriel Martinelli, BRA,"FW,MF",23-093,4,3,250.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,1.1,14.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.09,0.29,0.38,0.09,0.38,Matches,Arsenal
